colour	fill	x	y	showSelectedlegendcolour	showSelectedlegendfill	PANEL
#FC8D62	#FFFFFF	-3.69897000433602	0.480288915267674	validation	min cost	2
#66C2A5	#FFFFFF	-3.69897000433602	0.297069946934586	train	min cost	2
#FC8D62	#FFFFFF	-3.52287874528034	0.446133196632852	validation	min cost	2
#66C2A5	#FFFFFF	-3.52287874528034	0.267229658544053	train	min cost	2
#FC8D62	#FFFFFF	-3.22184874961636	0.385964400513551	validation	min cost	2
#66C2A5	#FFFFFF	-3.22184874961636	0.222133698149096	train	min cost	2
#FC8D62	#FFFFFF	-3	0.352610175998368	validation	min cost	2
#66C2A5	#FFFFFF	-3	0.204873427019138	train	min cost	2
#FC8D62	#FFFFFF	-2.74472749489669	0.332835179203676	validation	min cost	2
#66C2A5	#FFFFFF	-2.74472749489669	0.200071368876504	train	min cost	2
#FC8D62	#FFFFFF	-2.49485002168009	0.327426430363637	validation	min cost	2
#66C2A5	#FFFFFF	-2.49485002168009	0.19981489143286	train	min cost	2
#FC8D62	#FFFFFF	-2.2518119729938	0.326926152112052	validation	min cost	2
#66C2A5	#FFFFFF	-2.2518119729938	0.199813376146051	train	min cost	2
#FC8D62	#FFFFFF	-2	0.326920771332148	validation	min cost	2
#66C2A5	#FFFFFF	-2	0.199813375975851	train	min cost	2
#FC8D62	#FFFFFF	-1.74957999769111	0.3268816287779	validation	min cost	2
#66C2A5	#FFFFFF	-1.74957999769111	0.199813375975851	train	min cost	2
#FC8D62	#FFFFFF	-1.5003129173816	0.388956935700039	validation	min cost	2
#66C2A5	#FFFFFF	-1.5003129173816	0.399690085597828	train	min cost	2
#FC8D62	#FFFFFF	-1.25026368443094	0.515	validation	min cost	2
#66C2A5	#FFFFFF	-1.25026368443094	0.401514137336191	train	min cost	2
